"filename", "language", "JavaScript", "Groovy", "Properties", "Batch", "XML", "Java", "Markdown", "Shell Script", "C", "Makefile", "C++", "JSON", "Objective-C", "comment", "blank", "total"
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Main/System/LaunchModule/SystemLaunchView.js", "JavaScript", 445, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 57, 546
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Main/System/StandbyModule/SystemSettingWiFiView.js", "JavaScript", 246, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20, 267
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Main/System/StandbyModule/SystemStandbyView.js", "JavaScript", 829, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 86, 983
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Main/System/UpgradeModule/SystemUpgradeView.js", "JavaScript", 235, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 30, 282
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Main/System/UploadModule/SystemFinishView.js", "JavaScript", 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 18, 230
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Main/System/UploadModule/SystemMode1FinishView.js", "JavaScript", 173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 20, 212
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Main/System/UploadModule/SystemSalesmanFinishView.js", "JavaScript", 173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 17, 208
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Main/System/UploadModule/SystemUploadView.js", "JavaScript", 305, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 32, 369
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Main/System/UploadModule/SystemUserInfoFinishView.js", "JavaScript", 180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 20, 227
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Main/System/UploadModule/SystemVerifyCodeInfoFinishView.js", "JavaScript", 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 19, 216
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Main/System/UploadModule/UploadModule.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 2, 43
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Main/Tooling/SettingFunction/SettingFunctionView.js", "JavaScript", 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 19, 208
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Main/Tooling/ToolingConsole/ToolingConsoleView.js", "JavaScript", 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 26, 224
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Main/Tooling/ToolingDetail/ToolingBurnInView.js", "JavaScript", 505, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 62, 613
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Main/Tooling/ToolingDetail/ToolingDetailView.js", "JavaScript", 217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 48, 286
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Main/Tooling/ToolingModule.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 37
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Main/Tooling/ToolingRoot/ToolingCellView.js", "JavaScript", 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 155
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Main/Tooling/ToolingRoot/ToolingRootView.js", "JavaScript", 1129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 141, 1287
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Util/DemoData.js", "JavaScript", 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 13, 174
